,Seconds,Q_flow Refrigeration [kW]_model,T_sup RefrigerationT [°C]_model,T_ret RefrigerationT [°C]_model
1868,6724800,0.5406313279817871,69.0900746031125,27.191571035428453
1869,6728400,0.372182396760486,69.23219200947692,27.39745856401062
1870,6732000,0.26534129397628753,71.73345926858038,28.285205166364182
1871,6735600,0.28250901022347685,68.27480991747845,27.17172302081301
1872,6739200,0.3441328669870632,70.71319235375786,30.88588238785796
1873,6742800,0.35549332026715086,69.09819754154063,32.076518664638336
1874,6746400,0.2802189451469503,66.3541143953955,30.362429375435905
1875,6750000,0.31758987350441165,66.76816254915862,30.073974819471626
1876,6753600,0.43020756318618686,67.69056946406295,27.981538469773998
1877,6757200,0.3455556400732377,68.04054315778727,29.517010585549855
1878,6760800,0.45053493456546007,70.8217388598796,28.938326221754178
1879,6764400,0.5128620118429459,70.25879633859583,29.808391871112935
1880,6768000,0.5760175682903247,68.36898004937545,29.809854132953223
1881,6771600,0.5316969183126369,71.38821075456246,27.64989021296037
1882,6775200,0.6137813998773199,68.3719987032286,29.014918008159142
1883,6778800,0.6836271963413215,73.09370205933685,30.159223001027737
1884,6782400,0.7099214524444929,69.93847047414218,31.377514549635418
1885,6786000,0.6203578288429197,68.95701882484732,29.079650569789376
1886,6789600,0.6026891373772899,68.6410916368672,29.084926591560894
1887,6793200,0.6266594557927133,62.502297788131834,29.60043962079645
1888,6796800,0.5773710561916806,68.54068836677821,27.5972557673764
1889,6800400,0.5447619510389762,71.55004669933119,33.29936446773196
1890,6804000,0.5859326663381196,70.6520523388701,30.894391900087342
1891,6807600,0.7555194441805574,65.87592668230157,31.38746026950531
1892,6811200,0.5508033094738259,65.71642061445604,27.14920293454769
1893,6814800,0.35592919178314136,66.85568862557935,29.02565224777759
1894,6818400,0.3424942467886786,69.72849180090718,28.944228013380123
1895,6822000,0.3710795427256226,71.54733331134587,28.926070879290556
1896,6825600,0.4029756760953927,74.35249010807786,28.300115727672697
1897,6829200,0.33457933883993624,76.05528786857111,30.159586990301037
1898,6832800,0.29637418085314193,72.6981452621292,29.31395081321779
1899,6836400,0.3637873731667463,71.85678132502932,27.0438770892101
1900,6840000,0.4797582908215122,69.97163553431902,28.193516446309072
1901,6843600,0.5051688346216687,73.86364966386444,29.61953910740369
1902,6847200,0.49619642336456743,78.47704755960255,29.639312760611475
1903,6850800,0.5040873203239529,72.88725295930493,29.610614001227
1904,6854400,0.5808184770424772,73.57255181370532,30.125969042706675
1905,6858000,0.5286160557625333,71.1911066246819,27.754125519225664
1906,6861600,0.4769146977783802,74.62791118348176,28.701709269187837
1907,6865200,0.5724155137101277,72.78254515725938,29.795199555439325
1908,6868800,0.5951177491870641,71.40433627637687,28.197000585946363
1909,6872400,0.5790028614549937,69.34643540983198,31.28339117528628
1910,6876000,0.5108894157697431,75.28118997080841,29.60850602039005
1911,6879600,0.5369990872357666,71.13906979527017,27.026829765730586
1912,6883200,0.5178262307114346,72.03391339961567,28.6371312113093
1913,6886800,0.5000018447094013,76.15180913563464,30.947283241210975
1914,6890400,0.5663450994405413,74.07747752617391,31.40871914688139
1915,6894000,0.6274627800586796,70.16963051358127,31.188896499297403
1916,6897600,0.38314154577767445,69.4543194726775,28.586241544193598
1917,6901200,0.3102407191592515,72.61677504311943,28.195851079468763
1918,6904800,0.25996372384024014,70.58403225965628,25.300708626171605
1919,6908400,0.32134385735914345,71.72799978302025,29.439446807313576
1920,6912000,0.32684220224951627,65.49101393603546,30.37053079686001
1921,6915600,0.2915516738043206,70.44316683159444,30.328062387010913
1922,6919200,0.25578452229470117,69.62316755678687,29.188875711070526
1923,6922800,0.2839281901974567,69.39904592866658,30.825791726512378
1924,6926400,0.35817201607292837,67.7934713976911,27.744756313274593
1925,6930000,0.3016755072444199,66.29564549164513,29.723601880079812
1926,6933600,0.3940744831990733,69.41245040895762,28.97239644667693
1927,6937200,0.43448883111208064,68.63334068112216,29.47934908642667
1928,6940800,0.5575352625066501,69.04876089991816,27.291578752436887
1929,6944400,0.5318171582690833,73.28754533708273,32.43377040188444
1930,6948000,0.47730048517978585,66.85246248571745,29.425393802825866
1931,6951600,0.6128795313114969,67.45588635343675,27.03332340047294
1932,6955200,0.6488508890256638,66.92715271138408,30.364310001508663
1933,6958800,0.5671490997565033,66.46685210562596,27.757667682558086
1934,6962400,0.5259289351839976,65.70785246241047,28.136440341536243
1935,6966000,0.5843487614135571,67.5058025838996,27.269320784288976
1936,6969600,0.5844979944886558,69.64908307504263,28.364517066816916
1937,6973200,0.49551833954953095,73.26586803764772,30.186111899253753
1938,6976800,0.593457652374252,65.30875471424592,30.86089748891756
1939,6980400,0.639039053077887,66.765546779425,31.542403719928995
1940,6984000,0.46460148653459876,64.37346940945437,29.74007801186107
1941,6987600,0.3592413615687767,66.50881522165311,28.249892263564895
1942,6991200,0.2747281272523427,68.93167367556671,28.29049377894962
1943,6994800,0.265449128958469,69.53169859351974,26.519969765476976
1944,6998400,0.4121791532355184,69.98371314348611,29.604606223123334
1945,7002000,0.27406415780024457,70.40563636173165,29.587830942019547
1946,7005600,0.3011669365961182,72.03153189674167,29.761900602570247
1947,7009200,0.39003506465710985,69.80798247516165,28.937899519745315
1948,7012800,0.3456019241710772,67.42128048948369,26.110020942751717
1949,7016400,0.41298578752436965,69.71587970123696,28.79212038341833
1950,7020000,0.4498836044965047,72.91159951077638,31.879205493468223
1951,7023600,0.5409170753843022,73.21805204042975,27.327474727542533
1952,7027200,0.6248000415073623,69.69131809393998,32.33487159442717
1953,7030800,0.5626447101719905,73.44851091449618,26.084081988774766
1954,7034400,0.5495659950994941,73.24705526919807,28.74239613852698
1955,7038000,0.6563622832956973,71.95522661399461,28.00693059004434
1956,7041600,0.7017111156114485,68.1897237876556,28.658328401599203
1957,7045200,0.6309883203670841,70.03132490214823,30.916332271780085
1958,7048800,0.6524960611963482,71.58367461885534,29.764653515645723
1959,7052400,0.5682309607389135,69.71943567781841,27.201927235936953
1960,7056000,0.593101145782032,72.44280478012537,28.702519391551494
1961,7059600,0.567182499639581,69.23502973727622,31.908508889413444
1962,7063200,0.694487503516282,73.92253810229089,31.577437335531066
1963,7066800,0.7512235905464023,71.4950146481806,28.861190097848656
1964,7070400,0.5974048263508289,63.71165546233868,26.877647296866588
1965,7074000,0.3348190017836555,71.30491813684348,28.973646946797913
1966,7077600,0.29747712615058736,70.0281846927458,28.190964812384372
1967,7081200,0.3425996957495202,72.62518654916222,28.35780539370765
1968,7084800,0.39142560721862063,66.88284490865068,29.627183508176024
1969,7088400,0.28382001464839796,66.6571637557352,31.567850582447388
1970,7092000,0.2235534795611919,71.61085878857531,32.346117493232065
1971,7095600,0.41961856434017997,67.49175717571173,27.676442573060864
1972,7099200,0.49352363436286917,66.956779604741,27.154474308144206
1973,7102800,0.5537804502228334,71.97697817367568,28.535054810860878
1974,7106400,0.5627750080252256,76.46568561725685,30.565052299202954
1975,7110000,0.5736648575227836,71.42609803104456,27.481940404715626
1976,7113600,0.6469133404505142,68.53753106652016,30.186231130542907
1977,7117200,0.5981697160213969,70.28019069893536,29.669209513704875
1978,7120800,0.5870637965019724,70.46791916151541,29.503127957388955
1979,7124400,0.6870342700604298,67.3879239375471,32.11229466086986
1980,7128000,0.6187015064625349,64.89211660395738,32.43575863371028
1981,7131600,0.6693513269534955,69.9439909606867,31.020001258273602
1982,7135200,0.5842557256682218,68.88978348333349,28.52250554456043
1983,7138800,0.5881647682994436,67.8909580925676,27.96443886711257
1984,7142400,0.5228070267746313,69.40289139844351,27.593917452825405
1985,7146000,0.6175345346352039,73.44973657827698,29.49474026258325
1986,7149600,0.6250716096215788,71.50181312721816,30.7596012982298
1987,7153200,0.7008669340624019,65.28437867963761,29.969725250783053
1988,7156800,0.46944270974911506,68.92240983308234,29.625584970615346
1989,7160400,0.2624038663308285,68.18740232711237,28.751431404960147
