,Seconds,Q_flow Laundry [kW]_model,T_sup-Laundry[°C]_model,T_ret-Laundry[°C]_model
250,900000,0.49528887957235757,28.4,10
251,903600,0.5000146835061858,28.4,10
252,907200,0.44760748672023076,28.4,10
253,910800,0.46960850743313276,28.4,10
254,914400,0.44439971096701525,28.4,10
255,918000,0.47013020778156683,28.4,10
256,921600,0.48327403797556406,28.4,10
257,925200,0.4821441821826836,28.4,10
258,928800,0.439261632494548,28.4,10
259,932400,0.45835706774142687,28.4,10
260,936000,0.4006436233370136,28.4,10
261,939600,0.29145485186040826,28.4,10
262,943200,0.12554973487585433,28.4,10
263,946800,0.014648013490655238,28.4,10
264,950400,0.0,28.4,10
265,954000,0.0,28.4,10
266,957600,0.0,28.4,10
267,961200,0.01424530001424165,28.4,10
268,964800,0.0,28.4,10
269,968400,0.0,28.4,10
270,972000,0.1659800059598331,28.4,10
271,975600,0.3388197946943921,28.4,10
272,979200,0.48477183417601133,28.4,10
273,982800,0.44979823893310056,28.4,10
274,986400,0.5000356070203725,28.4,10
275,990000,0.45686801210459316,28.4,10
276,993600,0.48527457645655686,28.4,10
277,997200,0.460956016233734,28.4,10
278,1000800,0.4776364532191615,28.4,10
279,1004400,0.47563550287289935,28.4,10
280,1008000,0.47379759653154124,28.4,10
281,1011600,0.48661237971290705,28.4,10
282,1015200,0.4747115274815382,28.4,10
283,1018800,0.47798370904333587,28.4,10
284,1022400,0.39487942410165383,28.4,10
285,1026000,0.3336565841669066,28.4,10
286,1029600,0.10225641046963295,28.4,10
287,1033200,0.0,28.4,10
288,1036800,0.0,28.4,10
289,1040400,0.0,28.4,10
290,1044000,0.020826642171727902,28.4,10
291,1047600,0.0,28.4,10
292,1051200,0.012073780848009964,28.4,10
293,1054800,0.010517952137585057,28.4,10
294,1058400,0.03860354958212847,28.4,10
295,1062000,0.01594210591444335,28.4,10
296,1065600,0.01022467076450905,28.4,10
297,1069200,0.009852253625312732,28.4,10
298,1072800,0.0,28.4,10
299,1076400,0.024820682548295545,28.4,10
300,1080000,0.026577893336170402,28.4,10
301,1083600,0.0,28.4,10
302,1087200,0.0,28.4,10
303,1090800,0.0,28.4,10
304,1094400,0.040293871043929154,28.4,10
305,1098000,0.017721215692362485,28.4,10
306,1101600,0.005992673807276824,28.4,10
307,1105200,0.02482624658070799,28.4,10
308,1108800,0.020094549034619248,28.4,10
309,1112400,0.0,28.4,10
310,1116000,0.014087539179126215,28.4,10
311,1119600,0.0,28.4,10
312,1123200,0.013931931957468701,28.4,10
313,1126800,0.0,28.4,10
314,1130400,0.02522759675244281,28.4,10
315,1134000,0.004796623341214665,28.4,10
316,1137600,0.0,28.4,10
317,1141200,0.05857984334337041,28.4,10
318,1144800,0.12132056193630857,28.4,10
319,1148400,0.3804939273329239,28.4,10
320,1152000,0.5416263446100611,28.4,10
321,1155600,0.5437831662934038,28.4,10
322,1159200,0.5476504288720537,28.4,10
323,1162800,0.5744430094560233,28.4,10
324,1166400,0.5513976835440808,28.4,10
325,1170000,0.5514242455150219,28.4,10
326,1173600,0.5691097541049553,28.4,10
327,1177200,0.5136368540754698,28.4,10
328,1180800,0.5506208647602531,28.4,10
329,1184400,0.5293122350207213,28.4,10
330,1188000,0.5233771571737993,28.4,10
331,1191600,0.5071307474008999,28.4,10
332,1195200,0.5323091808257895,28.4,10
333,1198800,0.38434335704153405,28.4,10
334,1202400,0.22312043413666321,28.4,10
335,1206000,0.0,28.4,10
336,1209600,0.026333470740896547,28.4,10
337,1213200,0.0,28.4,10
338,1216800,0.016827659238811153,28.4,10
339,1220400,0.0006758659794573616,28.4,10
340,1224000,0.014966233184387601,28.4,10
341,1227600,0.0023551397227430447,28.4,10
342,1231200,0.10563520177692602,28.4,10
343,1234800,0.2726839620088782,28.4,10
344,1238400,0.369381104495928,28.4,10
345,1242000,0.3821966503169225,28.4,10
346,1245600,0.37851700145301304,28.4,10
347,1249200,0.42073430855599697,28.4,10
348,1252800,0.3981426147592586,28.4,10
349,1256400,0.39144661676189746,28.4,10
350,1260000,0.4039835956565666,28.4,10
351,1263600,0.36720664596095826,28.4,10
352,1267200,0.3951527663432101,28.4,10
353,1270800,0.3864417869699521,28.4,10
354,1274400,0.3867835439579547,28.4,10
355,1278000,0.37151543658229613,28.4,10
356,1281600,0.3240005948450116,28.4,10
357,1285200,0.2314402488786401,28.4,10
358,1288800,0.12376428889934063,28.4,10
359,1292400,0.012443181887268036,28.4,10
360,1296000,0.013487556759228823,28.4,10
361,1299600,0.01623218880385087,28.4,10
362,1303200,0.0,28.4,10
363,1306800,0.0015591374555519652,28.4,10
364,1310400,0.0,28.4,10
365,1314000,0.010041865251940627,28.4,10
366,1317600,0.11517431858968287,28.4,10
367,1321200,0.2792233657069974,28.4,10
368,1324800,0.4316964554465392,28.4,10
369,1328400,0.4045571329363593,28.4,10
370,1332000,0.4630383419923531,28.4,10
371,1335600,0.49359859163387965,28.4,10
372,1339200,0.4643262904366591,28.4,10
373,1342800,0.48636358577868133,28.4,10
374,1346400,0.436995636931966,28.4,10
375,1350000,0.48514125193373353,28.4,10
376,1353600,0.47117883518609516,28.4,10
377,1357200,0.5142873246568568,28.4,10
378,1360800,0.46004823704929665,28.4,10
379,1364400,0.4383012066353912,28.4,10
380,1368000,0.39586797196310036,28.4,10
381,1371600,0.29955195385020755,28.4,10
382,1375200,0.1235468465708179,28.4,10
383,1378800,0.013535740386965917,28.4,10
384,1382400,0.00485010440273771,28.4,10
385,1386000,0.0,28.4,10
386,1389600,0.0,28.4,10
387,1393200,0.02390373622835792,28.4,10
388,1396800,0.0,28.4,10
389,1400400,0.0,28.4,10
390,1404000,0.03430288327947721,28.4,10
391,1407600,0.002036239732603491,28.4,10
392,1411200,0.04046784777499022,28.4,10
393,1414800,0.01670823430314093,28.4,10
394,1418400,0.0,28.4,10
395,1422000,0.0,28.4,10
396,1425600,0.06313179401945843,28.4,10
397,1429200,0.003325742860762213,28.4,10
398,1432800,0.0,28.4,10
399,1436400,0.0,28.4,10
400,1440000,0.0,28.4,10
